mach,alpha_deg,beta_deg,flap_deg,CL,CD,Cl_roll,Cm,Cn_yaw
2,0,-10,-15,0.098088188437642235,0.026162513943297057,0,0.24316715733775565,0.050887125818764735
2,0,-10,-10,0.045016569199937143,0.0078174987932776423,-3.8781340423271051e-19,0.10923896371145105,0.050887125818764735
2,0,-10,-5,0.011471407755174214,0.00088348119766015461,-1.9390670211635525e-19,0.027283033466709791,0.050887125818764735
2,0,-10,0,5.8899160767842905e-18,-0.00012013693560095651,-1.613364357452487e-19,-1.5330748636074336e-18,0.050887125818764735
2,0,-10,5,5.8899160767842905e-18,-0.00012013693560095651,-1.613364357452487e-19,-1.5330748636074336e-18,0.050887125818764735
2,0,-10,10,5.8899160767842905e-18,-0.00012013693560095651,-1.613364357452487e-19,-1.5330748636074336e-18,0.050887125818764735
2,0,-10,15,5.8899160767842905e-18,-0.00012013693560095651,-1.613364357452487e-19,-1.5330748636074336e-18,0.050887125818764735
2,0,-5,-15,0.10036961258896447,0.026892725576247771,-1.551253616930842e-18,0.2488229598802954,0.013391278136958101
2,0,-5,-10,0.046063605441693169,0.0081210254064898769,-7.7562680846542102e-19,0.11177974271905963,0.013391278136958101
2,0,-5,-5,0.011738220172848304,0.00102573013350564,-7.7562680846542102e-19,0.02791760703222991,0.013391278136958101
2,0,-5,0,1.6628766064944653e-18,-1.2310615898980227e-06,-4.4833823788890198e-19,-3.8639318912931923e-19,0.013391278136958101
2,0,-5,5,1.6628766064944653e-18,-1.2310615898980227e-06,-4.4833823788890198e-19,-3.8639318912931923e-19,0.013391278136958101
2,0,-5,10,1.6628766064944653e-18,-1.2310615898980227e-06,-4.4833823788890198e-19,-3.8639318912931923e-19,0.013391278136958101
2,0,-5,15,1.6628766064944653e-18,-1.2310615898980227e-06,-4.4833823788890198e-19,-3.8639318912931923e-19,0.013391278136958101
2,0,0,-15,0.10113786832668331,0.027099810142340017,1.551253616930842e-18,0.25072751706322549,-5.8172010634906576e-19
2,0,0,-10,0.046416188541973963,0.0081844263816011186,0,0.11263533463069068,9.6953351058177627e-20
2,0,0,-5,0.011828067635300194,0.0010348218295066498,9.6953351058177627e-20,0.028131295829393305,0
2,0,0,0,0,0,0,0,0
2,0,0,5,0,0,0,0,0
2,0,0,10,0,0,0,0,0
2,0,0,15,0,0,0,0,0
2,0,5,-15,0.10036961258896447,0.026892725576247771,0,0.2488229598802954,-0.013391278136958094
2,0,5,-10,0.046063605441693162,0.0081210254064898769,-7.7562680846542102e-19,0.11177974271905963,-0.013391278136958094
2,0,5,-5,0.011738220172848301,0.00102573013350564,-3.8781340423271051e-19,0.02791760703222991,-0.013391278136958094
2,0,5,0,-1.4446783085471884e-18,-1.2310615898979897e-06,-3.3422395433141311e-19,-1.2730808186799379e-18,-0.013391278136958094
2,0,5,5,-1.4446783085471884e-18,-1.2310615898979897e-06,-3.3422395433141311e-19,-1.2730808186799379e-18,-0.013391278136958094
2,0,5,10,-1.4446783085471884e-18,-1.2310615898979897e-06,-3.3422395433141311e-19,-1.2730808186799379e-18,-0.013391278136958094
2,0,5,15,-1.4446783085471884e-18,-1.2310615898979897e-06,-3.3422395433141311e-19,-1.2730808186799379e-18,-0.013391278136958094
2,0,10,-15,0.098088188437642207,0.026162513943297057,-1.551253616930842e-18,0.24316715733775565,-0.050887125818764652
2,0,10,-10,0.045016569199937122,0.0078174987932776423,-3.8781340423271051e-19,0.10923896371145105,-0.050887125818764652
2,0,10,-5,0.011471407755174193,0.00088348119766015472,-9.6953351058177627e-19,0.027283033466709791,-0.050887125818764652
2,0,10,0,-1.4271457530958231e-17,-0.00012013693560095643,-9.4226538059666377e-19,-3.0903880649794117e-18,-0.050887125818764652
2,0,10,5,-1.4271457530958231e-17,-0.00012013693560095643,-9.4226538059666377e-19,-3.0903880649794117e-18,-0.050887125818764652
2,0,10,10,-1.4271457530958231e-17,-0.00012013693560095643,-9.4226538059666377e-19,-3.0903880649794117e-18,-0.050887125818764652
2,0,10,15,-1.4271457530958231e-17,-0.00012013693560095643,-9.4226538059666377e-19,-3.0903880649794117e-18,-0.050887125818764652
2,10,-10,-15,0.46620493491821524,0.15296412740275561,3.1025072338616841e-18,0.71670361320696041,0.069417566805830291
2,10,-10,-10,0.38745360083565517,0.099188645744164777,1.551253616930842e-18,0.4921344424940382,0.069417566805830305
2,10,-10,-5,0.31890547151234855,0.064820637010352941,2.3268804253962631e-18,0.30895302124483898,0.069417566805830305
2,10,-10,0,0.26583385227464351,0.046475621860333521,1.9390670211635525e-18,0.17501347099719791,0.069417566805830305
2,10,-10,5,0.23228869082988063,0.039541604264716049,2.0360203722217302e-18,0.094633834200684552,0.069417566805830305
2,10,-10,10,0.22081728307470649,0.038537986131454954,2.056305777948502e-18,0.068354418867235811,0.069417566805830305
2,10,-10,15,0.22081728307470649,0.038537986131454954,2.056305777948502e-18,0.068354418867235811,0.069417566805830305
2,10,-5,-15,0.42798636960600894,0.14809583225599512,3.1025072338616841e-18,0.71948244010208784,0.028207423118419606
2,10,-5,-10,0.34740336548869227,0.093069591616542019,7.7562680846542102e-18,0.4896900357066255,0.028207423118419606
2,10,-5,-5,0.27726088153148853,0.05790222052924951,2.3268804253962631e-18,0.30224801463222783,0.028207423118419606
2,10,-5,0,0.2229548743842171,0.039130520359491584,3.4903206380943946e-18,0.16519317670704475,0.028207423118419606
2,10,-5,5,0.18862948911537233,0.032035225086507378,3.0055538828035064e-18,0.082943997332745309,0.028207423118419606
2,10,-5,10,0.17689126894252399,0.031008263891411831,3.0975838215032609e-18,0.05605335149561088,0.028207423118419606
2,10,-5,15,0.17689126894252399,0.031008263891411831,3.0975838215032609e-18,0.05605335149561088,0.028207423118419606
2,10,0,-15,0.41187012236775067,0.14587188027509254,3.1025072338616841e-18,0.71939427730447969,-2.3268804253962631e-18
2,10,0,-10,0.33067031448205342,0.090424454139293176,1.551253616930842e-18,0.48784298066456877,-3.1025072338616841e-18
2,10,0,-5,0.25999094127751676,0.054987902630542387,3.8781340423271051e-18,0.29896622845526338,-3.0055538828035064e-18
2,10,0,0,0.20526926149280739,0.036072518869803477,2.3268804253962631e-18,0.16086233631035993,-2.9722261683772579e-18
2,10,0,5,0.17068114058613376,0.028922914317709041,2.4238337764544407e-18,0.07798359981865137,-2.9691963761566896e-18
2,10,0,10,0.15885307295083348,0.027888092488202378,2.3094591201279966e-18,0.050887125818764693,-2.9722261683772579e-18
2,10,0,15,0.15885307295083348,0.027888092488202378,2.3094591201279966e-18,0.050887125818764693,-2.9722261683772579e-18
2,10,5,-15,0.42798636960600894,0.14809583225599512,9.3075217015850522e-18,0.71948244010208784,-0.028207423118419589
2,10,5,-10,0.34740336548869227,0.093069591616542019,7.7562680846542102e-18,0.48969003570662539,-0.028207423118419589
2,10,5,-5,0.27726088153148853,0.05790222052924951,5.4293876592579471e-18,0.30224801463222778,-0.028207423118419589
2,10,5,0,0.2229548743842171,0.039130520359491584,6.5928278719560787e-18,0.1651931767070447,-0.028207423118419589
2,10,5,5,0.18862948911537233,0.032035225086507378,5.3324343081997695e-18,0.082943997332745253,-0.028207423118419589
2,10,5,10,0.17689126894252399,0.031008263891411831,5.538838903225968e-18,0.056053351495610824,-0.028207423118419589
2,10,5,15,0.17689126894252399,0.031008263891411831,5.538838903225968e-18,0.056053351495610824,-0.028207423118419589
2,10,10,-15,0.4662049349182153,0.15296412740275561,9.3075217015850522e-18,0.71670361320696019,-0.06941756680583025
2,10,10,-10,0.38745360083565517,0.099188645744164777,7.7562680846542102e-18,0.49213444249403798,-0.069417566805830236
2,10,10,-5,0.3189054715123486,0.064820637010352955,8.5318948931196312e-18,0.30895302124483881,-0.069417566805830236
2,10,10,0,0.26583385227464357,0.046475621860333535,7.3684546804214997e-18,0.17501347099719775,-0.069417566805830236
2,10,10,5,0.23228869082988066,0.039541604264716056,7.4654080314796773e-18,0.094633834200684386,-0.069417566805830236
2,10,10,10,0.22081728307470652,0.038537986131454954,7.4396666327307106e-18,0.068354418867235658,-0.069417566805830236
2,10,10,15,0.22081728307470652,0.038537986131454954,7.4396666327307106e-18,0.068354418867235658,-0.069417566805830236
2,20,-10,-15,1.0612550012494428,0.52133974019651474,3.1025072338616841e-18,1.3921396124649454,0.10191624416251704
2,20,-10,-10,0.98093105004972714,0.42477338426227684,6.2050144677233681e-18,1.1035750222143381,0.10191624416251704
2,20,-10,-5,0.89810922656445924,0.34970769660192252,1.2410028935446736e-17,0.83939087081195107,0.10191624416251704
